,EDC3_gas_a (yr),CO2 (ppmv),Bag,ztop,Age,Deuterium,Temperature,Depth,CH4_mean,1s,Lab.,Year,Month,Median montly series,0,year,Annual
120,5476.0,265.9,,,,,,,,,,,,,,,
121,5562.0,265.5,,,,,,,,,,,,,,,
122,5657.0,260.7,,,,,,,,,,,,,,,
123,5716.0,266.7,,,,,,,,,,,,,,,
124,5855.0,265.5,,,,,,,,,,,,,,,
125,5998.0,263.2,,,,,,,,,,,,,,,
126,6039.0,262.7,,,,,,,,,,,,,,,
127,6131.0,261.2,,,,,,,,,,,,,,,
128,6263.0,261.1,,,,,,,,,,,,,,,
129,6354.0,259.4,,,,,,,,,,,,,,,
130,6434.0,262.1,,,,,,,,,,,,,,,
131,6545.0,262.9,,,,,,,,,,,,,,,
132,6617.0,258.1,,,,,,,,,,,,,,,
133,6713.0,257.6,,,,,,,,,,,,,,,
134,6838.0,262.3,,,,,,,,,,,,,,,
135,6941.0,263.0,,,,,,,,,,,,,,,
136,7028.0,260.7,,,,,,,,,,,,,,,
137,7112.0,258.4,,,,,,,,,,,,,,,
138,7234.0,260.1,,,,,,,,,,,,,,,
139,7320.0,260.4,,,,,,,,,,,,,,,
140,7413.0,259.7,,,,,,,,,,,,,,,
141,7507.0,259.2,,,,,,,,,,,,,,,
142,7590.0,260.8,,,,,,,,,,,,,,,
143,7691.0,259.6,,,,,,,,,,,,,,,
144,7781.0,259.3,,,,,,,,,,,,,,,
145,7876.0,258.3,,,,,,,,,,,,,,,
146,7990.0,261.3,,,,,,,,,,,,,,,
147,8050.0,260.7,,,,,,,,,,,,,,,
148,8181.0,261.8,,,,,,,,,,,,,,,
149,8281.0,259.0,,,,,,,,,,,,,,,
150,8387.0,260.9,,,,,,,,,,,,,,,
151,8477.0,260.4,,,,,,,,,,,,,,,
152,8579.0,259.3,,,,,,,,,,,,,,,
153,8653.0,262.0,,,,,,,,,,,,,,,
154,8784.0,263.7,,,,,,,,,,,,,,,
155,8869.0,263.8,,,,,,,,,,,,,,,
156,8973.0,265.2,,,,,,,,,,,,,,,
157,9092.0,260.6,,,,,,,,,,,,,,,
158,9140.0,260.9,,,,,,,,,,,,,,,
159,9232.0,263.0,,,,,,,,,,,,,,,
160,9317.0,263.8,,,,,,,,,,,,,,,
161,9536.0,264.4,,,,,,,,,,,,,,,
162,9597.0,264.2,,,,,,,,,,,,,,,
163,9721.0,264.0,,,,,,,,,,,,,,,
164,9807.0,263.4,,,,,,,,,,,,,,,
165,9909.0,265.7,,,,,,,,,,,,,,,
166,9983.0,264.9,,,,,,,,,,,,,,,
167,10088.0,267.5,,,,,,,,,,,,,,,
168,10209.0,266.9,,,,,,,,,,,,,,,
169,10294.0,266.0,,,,,,,,,,,,,,,
170,10417.0,265.1,,,,,,,,,,,,,,,
171,10527.0,267.6,,,,,,,,,,,,,,,
172,10621.0,264.8,,,,,,,,,,,,,,,
173,10744.0,264.8,,,,,,,,,,,,,,,
174,10805.0,265.0,,,,,,,,,,,,,,,
175,10827.0,265.3,,,,,,,,,,,,,,,
176,10895.0,264.4,,,,,,,,,,,,,,,
177,10933.0,264.1,,,,,,,,,,,,,,,
178,11014.0,264.2,,,,,,,,,,,,,,,
179,11087.0,264.5,,,,,,,,,,,,,,,
180,11136.0,264.0,,,,,,,,,,,,,,,
181,11201.0,263.0,,,,,,,,,,,,,,,
182,11236.0,265.2,,,,,,,,,,,,,,,
183,11278.0,258.8,,,,,,,,,,,,,,,
184,11338.0,260.8,,,,,,,,,,,,,,,
185,11392.0,255.4,,,,,,,,,,,,,,,
186,11436.0,253.9,,,,,,,,,,,,,,,
187,11469.0,253.8,,,,,,,,,,,,,,,
188,11580.0,250.7,,,,,,,,,,,,,,,
189,11635.0,249.7,,,,,,,,,,,,,,,
190,11676.0,251.1,,,,,,,,,,,,,,,
191,11727.0,250.7,,,,,,,,,,,,,,,
192,11819.0,245.3,,,,,,,,,,,,,,,
193,11896.0,245.3,,,,,,,,,,,,,,,
194,11958.0,246.6,,,,,,,,,,,,,,,
195,12050.0,243.2,,,,,,,,,,,,,,,
196,12122.0,240.3,,,,,,,,,,,,,,,
197,12371.0,237.5,,,,,,,,,,,,,,,
198,12496.0,237.6,,,,,,,,,,,,,,,
199,12642.0,234.2,,,,,,,,,,,,,,,
200,12760.0,238.3,,,,,,,,,,,,,,,
201,12942.0,237.3,,,,,,,,,,,,,,,
202,13090.0,237.9,,,,,,,,,,,,,,,
203,13241.0,237.6,,,,,,,,,,,,,,,
204,13440.0,236.4,,,,,,,,,,,,,,,
205,13542.0,239.2,,,,,,,,,,,,,,,
206,13653.0,238.6,,,,,,,,,,,,,,,
207,13804.0,238.6,,,,,,,,,,,,,,,
208,13948.0,239.1,,,,,,,,,,,,,,,
209,14303.0,228.5,,,,,,,,,,,,,,,
210,14550.0,228.4,,,,,,,,,,,,,,,
211,14725.0,226.1,,,,,,,,,,,,,,,
212,14890.0,225.2,,,,,,,,,,,,,,,
213,15012.0,224.5,,,,,,,,,,,,,,,
214,15233.0,222.0,,,,,,,,,,,,,,,
215,15438.0,221.0,,,,,,,,,,,,,,,
216,15570.0,220.9,,,,,,,,,,,,,,,
217,15742.0,219.4,,,,,,,,,,,,,,,
218,15886.0,214.0,,,,,,,,,,,,,,,
219,16073.0,207.5,,,,,,,,,,,,,,,
220,16260.0,207.7,,,,,,,,,,,,,,,
