,EDC3_gas_a (yr),CO2 (ppmv),Bag,ztop,Age,Deuterium,Temperature,Depth,CH4_mean,1s,Lab.,Year,Month,Median montly series,0,year,Annual
1332,,,186.0,101.75,2517.80176,-398.5,-0.45,,,,,,,,,,
1333,,,187.0,102.3,2535.12402,-390.2,0.92,,,,,,,,,,
1334,,,188.0,102.85,2552.80396,-396.4,-0.11,,,,,,,,,,
1335,,,189.0,103.4,2570.83887,-392.7,0.51,,,,,,,,,,
1336,,,190.0,103.95,2589.01855,-400.4,-0.77,,,,,,,,,,
1337,,,191.0,104.5,2607.20264,-393.5,0.37,,,,,,,,,,
1338,,,192.0,105.05,2624.53931,-390.6,0.85,,,,,,,,,,
1339,,,193.0,105.6,2641.80493,-395.2,0.09,,,,,,,,,,
1340,,,194.0,106.15,2659.10327,-396.9,-0.19,,,,,,,,,,
1341,,,195.0,106.7,2678.04224,-399.1,-0.56,,,,,,,,,,
1342,,,196.0,107.25,2696.61401,-396.9,-0.2,,,,,,,,,,
1343,,,197.0,107.8,2714.85034,-401.0,-0.88,,,,,,,,,,
1344,,,198.0,108.35,2732.7207,-387.9,1.29,,,,,,,,,,
1345,,,199.0,108.9,2750.24463,-390.3,0.89,,,,,,,,,,
1346,,,200.0,109.45,2767.45288,-390.8,0.81,,,,,,,,,,
1347,,,201.0,110.0,2784.27979,-390.2,0.91,,,,,,,,,,
1348,,,202.0,110.55,2801.44702,-395.6,0.01,,,,,,,,,,
1349,,,203.0,111.1,2818.38721,-387.7,1.32,,,,,,,,,,
1350,,,204.0,111.65,2835.10181,-388.9,1.12,,,,,,,,,,
1351,,,205.0,112.2,2851.81982,-388.9,1.12,,,,,,,,,,
1352,,,206.0,112.75,2869.81689,-395.4,0.04,,,,,,,,,,
1353,,,207.0,113.3,2888.01172,-399.5,-0.64,,,,,,,,,,
1354,,,208.0,113.85,2906.21045,-401.7,-1.0,,,,,,,,,,
1355,,,209.0,114.4,2924.22363,-392.2,0.57,,,,,,,,,,
1356,,,210.0,114.95,2942.89673,-393.9,0.29,,,,,,,,,,
1357,,,211.0,115.5,2961.21436,-397.7,-0.34,,,,,,,,,,
1358,,,212.0,116.05,2980.44849,-401.1,-0.91,,,,,,,,,,
1359,,,213.0,116.6,2999.6936,-395.7,-0.01,,,,,,,,,,
1360,,,214.0,117.15,3018.71484,-398.7,-0.51,,,,,,,,,,
1361,,,215.0,117.7,3037.35205,-395.0,0.1,,,,,,,,,,
1362,,,216.0,118.25,3055.99341,-394.7,0.15,,,,,,,,,,
1363,,,217.0,118.8,3074.13501,-395.8,-0.03,,,,,,,,,,
1364,,,218.0,119.35,3092.03613,-391.8,0.63,,,,,,,,,,
1365,,,220.0,120.45,3128.5083,-387.9,1.27,,,,,,,,,,
1366,,,221.0,121.0,3146.72217,-404.4,-1.46,,,,,,,,,,
1367,,,222.0,121.55,3165.27637,-401.1,-0.91,,,,,,,,,,
1368,,,223.0,122.1,3185.7229,-403.4,-1.3,,,,,,,,,,
1369,,,224.0,122.65,3206.56641,-391.8,0.62,,,,,,,,,,
1370,,,225.0,123.2,3226.7688,-400.5,-0.82,,,,,,,,,,
1371,,,226.0,123.75,3246.86279,-406.2,-1.76,,,,,,,,,,
1372,,,227.0,124.3,3267.21094,-392.7,0.47,,,,,,,,,,
1373,,,228.0,124.85,3286.70679,-400.0,-0.74,,,,,,,,,,
1374,,,229.0,125.4,3306.5813,-401.9,-1.05,,,,,,,,,,
1375,,,230.0,125.95,3325.90356,-391.3,0.7,,,,,,,,,,
1376,,,231.0,126.5,3345.50293,-399.8,-0.71,,,,,,,,,,
1377,,,232.0,127.05,3365.14771,-404.2,-1.44,,,,,,,,,,
1378,,,233.0,127.6,3385.10962,-395.6,-0.01,,,,,,,,,,
1379,,,234.0,128.15,3405.45874,-397.2,-0.28,,,,,,,,,,
1380,,,235.0,128.7,3425.45044,-398.2,-0.44,,,,,,,,,,
1381,,,236.0,129.25,3445.16016,-396.6,-0.18,,,,,,,,,,
1382,,,237.0,129.8,3464.87329,-395.6,-0.02,,,,,,,,,,
1383,,,238.0,130.35,3483.79248,-392.7,0.46,,,,,,,,,,
1384,,,239.0,130.9,3503.07251,-401.8,-1.04,,,,,,,,,,
1385,,,240.0,131.45,3522.05103,-387.3,1.35,,,,,,,,,,
1386,,,241.0,132.0,3540.56226,-394.6,0.15,,,,,,,,,,
1387,,,242.0,132.55,3559.07617,-397.2,-0.29,,,,,,,,,,
1388,,,243.0,133.1,3578.32837,-394.5,0.16,,,,,,,,,,
1389,,,244.0,133.65,3598.29468,-399.5,-0.67,,,,,,,,,,
1390,,,245.0,134.2,3617.72217,-389.9,0.92,,,,,,,,,,
1391,,,246.0,134.75,3635.78711,-390.8,0.77,,,,,,,,,,
1392,,,247.0,135.3,3653.85449,-394.4,0.17,,,,,,,,,,
1393,,,248.0,135.85,3672.00122,-391.7,0.62,,,,,,,,,,
1394,,,249.0,136.4,3690.64551,-389.2,1.03,,,,,,,,,,
1395,,,250.0,136.95,3708.94678,-401.6,-1.02,,,,,,,,,,
1396,,,251.0,137.5,3727.1001,-387.2,1.36,,,,,,,,,,
1397,,,252.0,138.05,3745.50146,-387.8,1.26,,,,,,,,,,
1398,,,253.0,138.6,3763.56421,-404.9,-1.57,,,,,,,,,,
1399,,,254.0,139.15,3782.9856,-388.9,1.07,,,,,,,,,,
1400,,,255.0,139.7,3802.25,-394.9,0.08,,,,,,,,,,
1401,,,256.0,140.25,3821.60449,-393.8,0.26,,,,,,,,,,
1402,,,257.0,140.8,3841.62109,-399.6,-0.7,,,,,,,,,,
1403,,,258.0,141.35,3861.26953,-400.9,-0.92,,,,,,,,,,
1404,,,259.0,141.9,3880.94751,-391.0,0.72,,,,,,,,,,
1405,,,260.0,142.45,3900.47876,-396.1,-0.12,,,,,,,,,,
1406,,,261.0,143.0,3919.72363,-398.5,-0.52,,,,,,,,,,
1407,,,262.0,143.55,3939.896,-396.5,-0.19,,,,,,,,,,
1408,,,263.0,144.1,3960.07056,-397.8,-0.41,,,,,,,,,,
1409,,,264.0,144.65,3979.64185,-392.9,0.4,,,,,,,,,,
1410,,,265.0,145.2,3999.41675,-398.7,-0.56,,,,,,,,,,
1411,,,266.0,145.75,4019.15869,-398.9,-0.59,,,,,,,,,,
1412,,,267.0,146.3,4037.8606,-390.6,0.78,,,,,,,,,,
1413,,,268.0,146.85,4056.91699,-390.4,0.81,,,,,,,,,,
1414,,,269.0,147.4,4076.0918,-402.3,-1.16,,,,,,,,,,
1415,,,270.0,147.95,4095.42676,-389.9,0.89,,,,,,,,,,
1416,,,271.0,148.5,4114.76318,-390.3,0.82,,,,,,,,,,
1417,,,272.0,149.05,4134.00732,-398.8,-0.59,,,,,,,,,,
1418,,,273.0,149.6,4153.67773,-397.8,-0.42,,,,,,,,,,
1419,,,274.0,150.15,4173.31543,-394.9,0.06,,,,,,,,,,
1420,,,275.0,150.7,4192.83838,-392.2,0.5,,,,,,,,,,
1421,,,276.0,151.25,4212.36182,-404.7,-1.57,,,,,,,,,,
1422,,,277.0,151.8,4231.44238,-391.2,0.67,,,,,,,,,,
1423,,,278.0,152.35,4250.30615,-387.3,1.31,,,,,,,,,,
1424,,,279.0,152.9,4269.17041,-396.4,-0.2,,,,,,,,,,
1425,,,280.0,153.45,4288.05469,-387.0,1.36,,,,,,,,,,
1426,,,281.0,154.0,4306.93359,-398.1,-0.48,,,,,,,,,,
1427,,,282.0,154.55,4326.36182,-401.4,-1.03,,,,,,,,,,
1428,,,283.0,155.1,4346.73633,-395.2,0.0,,,,,,,,,,
1429,,,284.0,155.65,4367.11133,-393.4,0.29,,,,,,,,,,
1430,,,285.0,156.2,4386.60889,-394.9,0.04,,,,,,,,,,
1431,,,286.0,156.75,4406.00635,-397.1,-0.32,,,,,,,,,,
1432,,,287.0,157.3,4425.51172,-400.6,-0.9,,,,,,,,,,
1433,,,288.0,157.85,4445.25098,-393.0,0.35,,,,,,,,,,
1434,,,289.0,158.4,4464.99072,-387.1,1.33,,,,,,,,,,
1435,,,290.0,158.95,4483.77734,-397.5,-0.39,,,,,,,,,,
1436,,,291.0,159.5,4502.65186,-390.4,0.78,,,,,,,,,,
1437,,,292.0,160.05,4521.39404,-399.3,-0.7,,,,,,,,,,
1438,,,293.0,160.6,4541.82617,-397.5,-0.4,,,,,,,,,,
1439,,,294.0,161.15,4562.2583,-399.9,-0.8,,,,,,,,,,
1440,,,295.0,161.7,4582.21631,-395.0,0.01,,,,,,,,,,
1441,,,296.0,162.25,4601.92871,-394.1,0.16,,,,,,,,,,
1442,,,297.0,162.8,4621.9917,-393.4,0.27,,,,,,,,,,
1443,,,298.0,163.35,4641.60693,-398.4,-0.56,,,,,,,,,,
1444,,,299.0,163.9,4661.22119,-395.1,-0.01,,,,,,,,,,
1445,,,300.0,164.45,4680.94629,-396.0,-0.16,,,,,,,,,,
1446,,,301.0,165.0,4701.09961,-397.3,-0.38,,,,,,,,,,
1447,,,302.0,165.55,4720.87256,-389.3,0.94,,,,,,,,,,
1448,,,303.0,166.1,4740.53955,-399.6,-0.76,,,,,,,,,,
1449,,,304.0,166.65,4760.20654,-402.3,-1.21,,,,,,,,,,
1450,,,305.0,167.2,4780.67578,-396.7,-0.28,,,,,,,,,,
1451,,,306.0,167.75,4801.0752,-397.2,-0.37,,,,,,,,,,
1452,,,307.0,168.3,4821.48047,-402.0,-1.16,,,,,,,,,,
1453,,,308.0,168.85,4842.29346,-396.9,-0.32,,,,,,,,,,
1454,,,309.0,169.4,4862.72705,-390.9,0.67,,,,,,,,,,
1455,,,310.0,169.95,4882.10645,-393.4,0.25,,,,,,,,,,
1456,,,311.0,170.5,4901.39893,-395.9,-0.16,,,,,,,,,,
1457,,,312.0,171.05,4920.32568,-395.1,-0.03,,,,,,,,,,
1458,,,313.0,171.6,4939.11084,-392.7,0.37,,,,,,,,,,
1459,,,314.0,172.15,4958.24121,-389.0,0.98,,,,,,,,,,
1460,,,315.0,172.7,4977.55811,-397.9,-0.5,,,,,,,,,,
1461,,,316.0,173.25,4997.41162,-398.9,-0.66,,,,,,,,,,
1462,,,317.0,173.8,5017.63135,-396.8,-0.32,,,,,,,,,,
1463,,,318.0,174.35,5037.27734,-396.6,-0.29,,,,,,,,,,
1464,,,319.0,174.9,5056.9209,-392.7,0.36,,,,,,,,,,
1465,,,320.0,175.45,5077.15576,-400.6,-0.95,,,,,,,,,,
1466,,,321.0,176.0,5097.24316,-396.3,-0.24,,,,,,,,,,
1467,,,322.0,176.55,5117.65625,-395.6,-0.13,,,,,,,,,,
1468,,,323.0,177.1,5136.65674,-393.3,0.25,,,,,,,,,,
1469,,,324.0,177.65,5156.00537,-391.4,0.56,,,,,,,,,,
1470,,,325.0,178.2,5174.81885,-391.3,0.58,,,,,,,,,,
1471,,,326.0,178.75,5193.40039,-393.2,0.26,,,,,,,,,,
1472,,,327.0,179.3,5212.32373,-397.6,-0.47,,,,,,,,,,
1473,,,328.0,179.85,5232.35645,-395.8,-0.17,,,,,,,,,,
1474,,,329.0,180.4,5253.08057,-403.1,-1.38,,,,,,,,,,
1475,,,330.0,180.95,5273.03516,-396.3,-0.26,,,,,,,,,,
1476,,,331.0,181.5,5292.75488,-390.6,0.69,,,,,,,,,,
1477,,,332.0,182.05,5312.11328,-396.0,-0.21,,,,,,,,,,
1478,,,333.0,182.6,5331.5127,-390.6,0.68,,,,,,,,,,
1479,,,334.0,183.15,5350.51611,-396.3,-0.26,,,,,,,,,,
1480,,,335.0,183.7,5369.94189,-394.5,0.03,,,,,,,,,,
1481,,,336.0,184.25,5389.17773,-391.4,0.54,,,,,,,,,,
1482,,,337.0,184.8,5408.76025,-407.6,-2.14,,,,,,,,,,
1483,,,338.0,185.35,5430.22119,-401.2,-1.08,,,,,,,,,,
1484,,,339.0,185.9,5452.77002,-402.4,-1.28,,,,,,,,,,
1485,,,340.0,186.45,5474.10742,-395.0,-0.06,,,,,,,,,,
1486,,,341.0,187.0,5495.14404,-402.5,-1.3,,,,,,,,,,
1487,,,342.0,187.55,5516.06982,-407.9,-2.19,,,,,,,,,,
1488,,,343.0,188.1,5538.56299,-399.6,-0.82,,,,,,,,,,
1489,,,344.0,188.65,5560.64307,-394.6,0.0,,,,,,,,,,
1490,,,345.0,189.2,5579.5249,-387.2,1.23,,,,,,,,,,
1491,,,346.0,189.75,5597.93359,-396.2,-0.26,,,,,,,,,,
1492,,,347.0,190.3,5617.146,-394.0,0.1,,,,,,,,,,
1493,,,348.0,190.85,5636.84375,-399.1,-0.75,,,,,,,,,,
1494,,,349.0,191.4,5656.90234,-395.2,-0.1,,,,,,,,,,
1495,,,350.0,191.95,5676.67773,-396.0,-0.24,,,,,,,,,,
1496,,,351.0,192.5,5696.82275,-400.4,-0.97,,,,,,,,,,
1497,,,352.0,193.05,5716.83252,-391.1,0.57,,,,,,,,,,
1498,,,353.0,193.6,5736.2915,-399.2,-0.77,,,,,,,,,,
1499,,,354.0,194.15,5756.10742,-386.2,1.38,,,,,,,,,,
1500,,,355.0,194.7,5774.45898,-398.9,-0.72,,,,,,,,,,
1501,,,356.0,195.25,5793.03125,-389.0,0.91,,,,,,,,,,
1502,,,357.0,195.8,5811.41699,-388.4,1.01,,,,,,,,,,
1503,,,358.0,196.35,5830.54785,-400.4,-0.98,,,,,,,,,,
1504,,,359.0,196.9,5849.67529,-392.7,0.29,,,,,,,,,,
1505,,,360.0,197.45,5868.10498,-391.0,0.57,,,,,,,,,,
1506,,,361.0,198.0,5886.7168,-392.5,0.32,,,,,,,,,,
1507,,,362.0,198.55,5905.14307,-397.7,-0.54,,,,,,,,,,
1508,,,363.0,199.1,5925.8252,-399.8,-0.89,,,,,,,,,,
1509,,,364.0,199.65,5946.12646,-398.7,-0.71,,,,,,,,,,
1510,,,365.0,200.2,5967.26807,-403.7,-1.54,,,,,,,,,,
1511,,,366.0,200.75,5988.59326,-397.4,-0.5,,,,,,,,,,
1512,,,367.0,201.3,6008.73047,-391.7,0.45,,,,,,,,,,
1513,,,368.0,201.85,6027.92334,-394.5,-0.02,,,,,,,,,,
1514,,,369.0,202.4,6047.11182,-396.8,-0.4,,,,,,,,,,
1515,,,370.0,202.95,6066.76611,-399.2,-0.8,,,,,,,,,,
1516,,,371.0,203.5,6086.92725,-394.0,0.06,,,,,,,,,,
1517,,,372.0,204.05,6106.67334,-391.4,0.49,,,,,,,,,,
1518,,,373.0,204.6,6126.71484,-403.5,-1.52,,,,,,,,,,
1519,,,374.0,205.15,6146.75195,-389.5,0.8,,,,,,,,,,
1520,,,375.0,205.7,6165.99609,-399.9,-0.93,,,,,,,,,,
1521,,,376.0,206.25,6185.56348,-397.4,-0.51,,,,,,,,,,
1522,,,377.0,206.8,6205.3252,-398.6,-0.71,,,,,,,,,,
1523,,,378.0,207.35,6224.92188,-394.1,0.03,,,,,,,,,,
1524,,,379.0,207.9,6244.90576,-398.4,-0.68,,,,,,,,,,
1525,,,380.0,208.45,6265.25293,-401.7,-1.23,,,,,,,,,,
1526,,,381.0,209.0,6285.96436,-392.6,0.27,,,,,,,,,,
1527,,,382.0,209.55,6306.17871,-395.4,-0.19,,,,,,,,,,
1528,,,383.0,210.1,6325.78125,-402.1,-1.3,,,,,,,,,,
1529,,,384.0,210.65,6346.05469,-403.6,-1.55,,,,,,,,,,
1530,,,385.0,211.2,6367.22217,-396.5,-0.38,,,,,,,,,,
1531,,,386.0,211.75,6387.99365,-402.5,-1.37,,,,,,,,,,
1532,,,387.0,212.3,6409.05469,-398.8,-0.76,,,,,,,,,,
1533,,,388.0,212.85,6430.11035,-397.0,-0.47,,,,,,,,,,
1534,,,389.0,213.4,6449.43555,-389.4,0.79,,,,,,,,,,
1535,,,390.0,213.95,6468.30127,-395.0,-0.14,,,,,,,,,,
1536,,,391.0,214.5,6487.40918,-404.9,-1.78,,,,,,,,,,
1537,,,392.0,215.05,6508.77686,-402.2,-1.34,,,,,,,,,,
1538,,,393.0,215.6,6530.53564,-389.2,0.81,,,,,,,,,,
1539,,,394.0,216.15,6550.47754,-397.0,-0.48,,,,,,,,,,
1540,,,395.0,216.7,6569.66113,-401.8,-1.27,,,,,,,,,,
1541,,,396.0,217.25,6590.10791,-398.4,-0.71,,,,,,,,,,
1542,,,397.0,217.8,6611.98047,-407.8,-2.27,,,,,,,,,,
1543,,,398.0,218.35,6633.31201,-395.4,-0.22,,,,,,,,,,
1544,,,399.0,218.9,6654.39893,-403.1,-1.5,,,,,,,,,,
1545,,,400.0,219.45,6675.47266,-406.1,-2.0,,,,,,,,,,
1546,,,401.0,220.0,6695.09766,-390.4,0.6,,,,,,,,,,
1547,,,402.0,220.55,6714.92676,-392.6,0.23,,,,,,,,,,
1548,,,403.0,221.1,6734.95068,-395.7,-0.28,,,,,,,,,,
1549,,,404.0,221.65,6754.85059,-402.9,-1.47,,,,,,,,,,
1550,,,405.0,222.2,6775.19922,-401.9,-1.31,,,,,,,,,,
1551,,,406.0,222.75,6796.66455,-401.2,-1.2,,,,,,,,,,
1552,,,407.0,223.3,6817.73438,-400.4,-1.07,,,,,,,,,,
1553,,,408.0,223.85,6837.80859,-397.5,-0.59,,,,,,,,,,
1554,,,409.0,224.4,6857.56445,-389.4,0.75,,,,,,,,,,
1555,,,410.0,224.95,6876.75293,-395.4,-0.25,,,,,,,,,,
1556,,,411.0,225.5,6894.72949,-387.9,0.99,,,,,,,,,,
1557,,,412.0,226.05,6913.03467,-398.3,-0.73,,,,,,,,,,
1558,,,413.0,226.6,6933.19678,-398.7,-0.8,,,,,,,,,,
1559,,,414.0,227.15,6953.43799,-401.3,-1.23,,,,,,,,,,
1560,,,415.0,227.7,6973.75098,-396.8,-0.49,,,,,,,,,,
1561,,,416.0,228.25,6993.71631,-395.6,-0.29,,,,,,,,,,
1562,,,417.0,228.8,7013.37988,-402.5,-1.44,,,,,,,,,,
1563,,,418.0,229.35,7034.45752,-399.5,-0.94,,,,,,,,,,
1564,,,419.0,229.9,7055.52197,-397.8,-0.66,,,,,,,,,,
1565,,,420.0,230.45,7076.34229,-400.5,-1.11,,,,,,,,,,
1566,,,421.0,231.0,7096.71631,-400.8,-1.16,,,,,,,,,,
1567,,,422.0,231.55,7117.57666,-396.1,-0.39,,,,,,,,,,
1568,,,423.0,232.1,7138.54639,-405.3,-1.91,,,,,,,,,,
1569,,,424.0,232.65,7159.63916,-411.9,-3.0,,,,,,,,,,
1570,,,425.0,233.2,7183.03809,-401.7,-1.32,,,,,,,,,,
1571,,,426.0,233.75,7206.14893,-399.3,-0.93,,,,,,,,,,
1572,,,427.0,234.3,7227.69482,-404.7,-1.82,,,,,,,,,,
1573,,,428.0,234.85,7248.8374,-403.1,-1.56,,,,,,,,,,
1574,,,429.0,235.4,7270.31396,-402.3,-1.43,,,,,,,,,,
1575,,,430.0,235.95,7291.77637,-396.1,-0.4,,,,,,,,,,
1576,,,431.0,236.5,7311.01465,-388.3,0.88,,,,,,,,,,
1577,,,432.0,237.05,7329.80273,-398.5,-0.81,,,,,,,,,,
1578,,,433.0,237.6,7349.2124,-406.3,-2.1,,,,,,,,,,
1579,,,434.0,238.15,7370.96484,-399.9,-1.04,,,,,,,,,,
1580,,,435.0,238.7,7392.32568,-404.7,-1.84,,,,,,,,,,
1581,,,436.0,239.25,7414.37549,-403.8,-1.69,,,,,,,,,,
1582,,,437.0,239.8,7436.4126,-395.0,-0.24,,,,,,,,,,
1583,,,438.0,240.35,7457.46973,-402.8,-1.53,,,,,,,,,,
1584,,,439.0,240.9,7477.94238,-404.2,-1.77,,,,,,,,,,
1585,,,440.0,241.45,7498.46387,-399.1,-0.93,,,,,,,,,,
1586,,,441.0,242.0,7518.73486,-393.3,0.03,,,,,,,,,,
1587,,,442.0,242.55,7538.68262,-399.1,-0.93,,,,,,,,,,
1588,,,443.0,243.1,7557.28027,-389.2,0.7,,,,,,,,,,
1589,,,444.0,243.65,7576.21826,-397.7,-0.71,,,,,,,,,,
1590,,,445.0,244.2,7595.2207,-388.4,0.83,,,,,,,,,,
1591,,,446.0,244.75,7614.23779,-400.3,-1.14,,,,,,,,,,
1592,,,447.0,245.3,7633.49609,-403.7,-1.71,,,,,,,,,,
1593,,,448.0,245.85,7654.58057,-398.3,-0.82,,,,,,,,,,
1594,,,449.0,246.4,7675.59277,-396.1,-0.46,,,,,,,,,,
1595,,,450.0,246.95,7694.80908,-390.7,0.43,,,,,,,,,,
1596,,,451.0,247.5,7713.66211,-404.7,-1.88,,,,,,,,,,
1597,,,452.0,248.05,7733.28223,-400.2,-1.14,,,,,,,,,,
1598,,,453.0,248.6,7753.18359,-388.5,0.79,,,,,,,,,,
1599,,,454.0,249.15,7773.04932,-390.4,0.47,,,,,,,,,,
1600,,,455.0,249.7,7792.45361,-405.5,-2.03,,,,,,,,,,
1601,,,456.0,250.25,7812.20361,-399.5,-1.04,,,,,,,,,,
1602,,,457.0,250.8,7833.15186,-402.1,-1.47,,,,,,,,,,
1603,,,458.0,251.35,7854.24023,-402.2,-1.49,,,,,,,,,,
1604,,,459.0,251.9,7874.2207,-395.2,-0.34,,,,,,,,,,
1605,,,460.0,252.45,7893.61865,-391.6,0.26,,,,,,,,,,
1606,,,461.0,253.0,7913.12061,-396.5,-0.56,,,,,,,,,,
1607,,,462.0,253.55,7932.94727,-399.5,-1.06,,,,,,,,,,
1608,,,463.0,254.1,7952.77002,-400.6,-1.24,,,,,,,,,,
1609,,,464.0,254.65,7973.72852,-401.6,-1.41,,,,,,,,,,
1610,,,465.0,255.2,7994.78516,-400.6,-1.25,,,,,,,,,,
1611,,,466.0,255.75,8016.25537,-406.3,-2.19,,,,,,,,,,
1612,,,467.0,256.3,8037.89941,-398.3,-0.87,,,,,,,,,,
1613,,,468.0,256.85,8060.00879,-411.7,-3.09,,,,,,,,,,
1614,,,469.0,257.4,8082.52441,-399.8,-1.13,,,,,,,,,,
1615,,,470.0,257.95,8104.10156,-396.9,-0.65,,,,,,,,,,
1616,,,471.0,258.5,8124.47559,-401.4,-1.4,,,,,,,,,,
1617,,,472.0,259.05,8145.28857,-405.3,-2.04,,,,,,,,,,
1618,,,473.0,259.6,8168.22363,-408.3,-2.54,,,,,,,,,,
1619,,,474.0,260.15,8191.03564,-406.5,-2.25,,,,,,,,,,
1620,,,475.0,260.7,8213.10742,-400.8,-1.31,,,,,,,,,,
1621,,,476.0,261.25,8235.14648,-403.2,-1.71,,,,,,,,,,
1622,,,477.0,261.8,8255.94727,-397.5,-0.77,,,,,,,,,,
1623,,,478.0,262.35,8276.73535,-401.0,-1.35,,,,,,,,,,
1624,,,479.0,262.9,8297.71387,-401.5,-1.43,,,,,,,,,,
1625,,,480.0,263.45,8318.74023,-400.4,-1.26,,,,,,,,,,
1626,,,481.0,264.0,8339.99707,-400.3,-1.24,,,,,,,,,,
1627,,,482.0,264.55,8361.41699,-407.3,-2.4,,,,,,,,,,
1628,,,483.0,265.1,8383.13184,-403.0,-1.69,,,,,,,,,,
1629,,,484.0,265.65,8405.27148,-404.2,-1.89,,,,,,,,,,
1630,,,485.0,266.2,8426.94141,-401.2,-1.4,,,,,,,,,,
1631,,,486.0,266.75,8447.5625,-397.2,-0.74,,,,,,,,,,
1632,,,487.0,267.3,8468.13672,-396.9,-0.7,,,,,,,,,,
1633,,,488.0,267.85,8488.25391,-397.8,-0.85,,,,,,,,,,
1634,,,489.0,268.4,8508.36719,-409.5,-2.79,,,,,,,,,,
1635,,,490.0,268.95,8528.88184,-397.1,-0.74,,,,,,,,,,
1636,,,491.0,269.5,8549.50879,-390.3,0.38,,,,,,,,,,
1637,,,492.0,270.05,8569.625,-397.5,-0.81,,,,,,,,,,
1638,,,493.0,270.6,8589.31641,-401.9,-1.54,,,,,,,,,,
1639,,,494.0,271.15,8608.98145,-392.4,0.02,,,,,,,,,,
1640,,,495.0,271.7,8628.54395,-399.9,-1.22,,,,,,,,,,
1641,,,496.0,272.25,8648.09375,-399.3,-1.13,,,,,,,,,,
1642,,,497.0,272.8,8668.16602,-396.7,-0.7,,,,,,,,,,
1643,,,498.0,273.35,8688.30762,-402.1,-1.6,,,,,,,,,,
1644,,,499.0,273.9,8708.86133,-401.8,-1.55,,,,,,,,,,
1645,,,500.0,274.45,8729.69824,-397.5,-0.84,,,,,,,,,,
1646,,,501.0,275.0,8750.14453,-400.2,-1.29,,,,,,,,,,
1647,,,502.0,275.55,8769.94727,-395.0,-0.44,,,,,,,,,,
1648,,,503.0,276.1,8789.86426,-404.4,-2.0,,,,,,,,,,
1649,,,504.0,276.65,8811.45508,-402.1,-1.62,,,,,,,,,,
1650,,,505.0,277.2,8833.03223,-397.9,-0.93,,,,,,,,,,
1651,,,506.0,277.75,8852.47656,-393.4,-0.19,,,,,,,,,,
1652,,,507.0,278.3,8871.72363,-397.7,-0.9,,,,,,,,,,
1653,,,508.0,278.85,8891.24512,-397.4,-0.86,,,,,,,,,,
1654,,,509.0,279.4,8910.98535,-397.4,-0.86,,,,,,,,,,
1655,,,510.0,279.95,8930.55859,-399.0,-1.13,,,,,,,,,,
1656,,,511.0,280.5,8949.62988,-391.8,0.05,,,,,,,,,,
1657,,,512.0,281.05,8968.69824,-392.7,-0.1,,,,,,,,,,
1658,,,513.0,281.6,8988.20996,-401.1,-1.49,,,,,,,,,,
1659,,,514.0,282.15,9007.7959,-396.1,-0.67,,,,,,,,,,
1660,,,515.0,282.7,9027.30762,-397.7,-0.94,,,,,,,,,,
1661,,,516.0,283.25,9046.75586,-395.6,-0.59,,,,,,,,,,
1662,,,517.0,283.8,9066.20117,-398.6,-1.09,,,,,,,,,,
1663,,,518.0,284.35,9085.62891,-394.9,-0.49,,,,,,,,,,
1664,,,519.0,284.9,9105.04492,-394.9,-0.49,,,,,,,,,,
1665,,,520.0,285.45,9126.03223,-407.4,-2.56,,,,,,,,,,
1666,,,521.0,286.0,9147.31738,-403.4,-1.9,,,,,,,,,,
1667,,,522.0,286.55,9167.60547,-392.2,-0.06,,,,,,,,,,
1668,,,523.0,287.1,9187.44238,-400.4,-1.42,,,,,,,,,,
1669,,,524.0,287.65,9206.50879,-391.1,0.11,,,,,,,,,,
1670,,,525.0,288.2,9224.43359,-388.5,0.54,,,,,,,,,,
1671,,,526.0,288.75,9242.35645,-394.8,-0.51,,,,,,,,,,
1672,,,527.0,289.3,9261.82617,-397.7,-0.99,,,,,,,,,,
1673,,,528.0,289.85,9281.49414,-401.2,-1.57,,,,,,,,,,
1674,,,529.0,290.4,9300.67285,-391.9,-0.04,,,,,,,,,,
1675,,,530.0,290.95,9319.49219,-393.3,-0.28,,,,,,,,,,
1676,,,531.0,291.5,9338.2959,-394.3,-0.45,,,,,,,,,,
1677,,,532.0,292.05,9357.02734,-395.0,-0.57,,,,,,,,,,
1678,,,533.0,292.6,9375.74414,-392.4,-0.14,,,,,,,,,,
1679,,,534.0,293.15,9393.95703,-393.5,-0.33,,,,,,,,,,
1680,,,535.0,293.7,9412.0,-390.0,0.24,,,,,,,,,,
1681,,,537.0,294.8,9447.16602,-388.5,0.48,,,,,,,,,,
1682,,,538.0,295.35,9464.46777,-394.3,-0.48,,,,,,,,,,
1683,,,539.0,295.9,9483.60059,-403.6,-2.02,,,,,,,,,,
1684,,,540.0,296.45,9503.57812,-393.3,-0.33,,,,,,,,,,
1685,,,541.0,297.0,9523.06836,-398.0,-1.11,,,,,,,,,,
1686,,,542.0,297.55,9541.80664,-391.0,0.04,,,,,,,,,,
1687,,,543.0,298.1,9560.53027,-395.8,-0.75,,,,,,,,,,
1688,,,544.0,298.65,9578.31836,-386.4,0.79,,,,,,,,,,
1689,,,545.0,299.2,9596.10449,-391.8,-0.1,,,,,,,,,,
1690,,,546.0,299.75,9614.36035,-398.2,-1.16,,,,,,,,,,
